Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,10nf,C0603,142.329284,-101.84251,45,top
C5,10nf,C0603,151.086996,-92.894294,45,top
C6,1.0uF,603,115.71385,-97.7006,90,top
C7,1nF,603,178.07085,-108.3051,0,top
C17,1nF,603,187.21485,-109.5751,180,top
C18,1nF,603,183.78585,-111.2261,180,top
C19,100nF,603,117.30135,-97.7006,90,top
C20,100nF,603,148.4757,-70.9295,0,top
C21,1nF,603,187.21485,-113.3851,180,top
C22,1nF,603,183.78585,-115.0361,0,top
C23,1nF,603,187.21485,-102.0186,180,top
C24,1nF,603,183.78585,-103.6696,180,top
C29,100nF,603,99.20385,-101.4471,90,top
C30,100nF,603,89.93285,-101.4471,90,top
C35,100nF,603,88.40885,-101.4471,90,top
C36,100nF,603,79.13785,-101.4471,90,top
C38,4.7uF,603,165.30735,-83.2861,180,top
C42,3.3nf,C0805,110.37985,-90.5251,270,top
C43,33nF,603,218.90135,-117.1951,270,top
C44,100nF,603,212.74185,-122.3386,0,top
C45,100nF,603,213.63085,-120.4971,180,top
C46,100nF,603,216.86935,-122.3386,0,top
C47,100nF,603,217.69485,-120.4971,180,top
C50,1nF,603,187.21485,-105.8286,180,top
C51,1nF,603,183.78585,-107.4796,180,top
C52,100nF,603,172.10185,-110.7816,90,top
C53,1.0uF,603,173.62585,-110.7816,270,top
C54,10nF,603,175.14985,-110.7816,90,top
C55,1nF,603,168.79985,-108.3051,0,top
C56,33nF,603,210.39235,-117.1951,270,top
C57,100nF,603,204.23285,-122.3386,0,top
C58,100nF,603,205.12185,-120.4971,180,top
C60,100nF,603,208.36035,-122.3386,0,top
C61,100nF,603,196.18706,-120.4971,180,top
C62,100nF,603,209.18585,-120.4971,180,top
C63,1nF,603,187.27835,-117.1316,180,top
C64,1nF,603,183.84935,-118.7826,180,top
C65,1nF,603,187.27835,-120.9416,180,top
C66,1nF,603,183.84935,-122.5926,0,top
C67,3.3nf,C0805,109.8296,-95.9358,180,top
C68,33nF,603,227.41035,-117.1951,270,top
C69,100nF,603,221.25085,-122.3386,0,top
C70,100nF,603,222.13985,-120.4971,180,top
C71,100nF,603,225.37835,-122.3386,0,top
C72,100nF,603,226.20385,-120.4971,180,top
C73,680pf,C0603,101.48985,-87.6041,180,top
C74,680pf,C0603,102.95035,-98.5261,180,top
C75,47PF,C0402,96.60035,-90.7791,180,top
C76,47PF,C0402,96.60035,-93.8906,180,top
C77,330PF 50V,C0402,98.06085,-87.6676,0,top
C78,330PF 50V,C0402,99.64835,-98.3991,0,top
C79,10nf,C0402,107.64935,-93.8906,90,top
C80,10uf,C0805,88.98035,-94.0176,180,top
C81,10uf,C0805,88.98035,-89.1281,180,top
C82,10nf,C0603,147.234831,-78.779241,135,top
C83,10nf,C0603,143.620618,-75.292029,135,top
C84,10nf,C0603,139.573,-71.6661,135,top
C85,10nf,C0603,126.35919,-78.985604,135,top
C86,10nf,C0603,120.88014,-84.255972,225,top
C87,10nF,603,175.54609,-74.90664,180,top
